claim_id,claim,verdict,justification,score,latency,cost,source_dataset,test_mode,ground_truth,gold_verdict,baseline_verdict,baseline_justification,baseline_score,is_verdict_correct,is_justification_flawed,latency_seconds,cost_usd,provider,model
liar_11827.json,"Donald Trump and Hillary Clinton and Bernie Sanders have the identical position on health care, which is they want to put the government in charge of you and your doctor.",Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0,0.0,LIAR,claim,False,Non-Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0,0.0,mock,mock-fact-audit-heuristic
liar_8312.json,Mental health provisions related to mass shootings got over 90 votes in the Senate.,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0,0.0,LIAR,claim,True,Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0,0.0,mock,mock-fact-audit-heuristic
averitec_train_641,Ear loop face masks don't protect against Covid-19.,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0002,0.0,AVeriTeC,evidence,False,Non-Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0002,0.0,mock,mock-fact-audit-heuristic
averitec_dev_104,"Former President Donald Trump who lost the popular vote by 3 million has nominated a full third of The United Supreme Court, as of 13th October 2020.",Factual,The supplied auxiliary evidence contains supporting signals and factual details that align with the source claim.,9,0.0002,0.0,AVeriTeC,evidence,True,Factual,Factual,The supplied auxiliary evidence contains supporting signals and factual details that align with the source claim.,9,True,False,0.0002,0.0,mock,mock-fact-audit-heuristic
liar_3855.json,"A few months into office, (President Barack Obama) traveled around the globe to apologize for America.",Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0,0.0,LIAR,claim,False,Non-Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0,0.0,mock,mock-fact-audit-heuristic
liar_3843.json,It is a greater crime to have an untagged alligator than to host an open house party (for kids).,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0,0.0,LIAR,claim,True,Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0,0.0,mock,mock-fact-audit-heuristic
averitec_train_1322,"The Chinese Communist Party ""will finally admit that the real source of the coronavirus is from ‘a lab in Wuhan’ linked to its covert biological weapon programs.",Non-Factual,"The supplied auxiliary evidence contains refuting signals, credibility warnings, or explicit statements that undermine the source claim.",9,0.0001,0.0,AVeriTeC,evidence,False,Non-Factual,Non-Factual,"The supplied auxiliary evidence contains refuting signals, credibility warnings, or explicit statements that undermine the source claim.",9,True,False,0.0001,0.0,mock,mock-fact-audit-heuristic
averitec_train_1602,"Over the last six years, the counties of Kilifi, Kwale, Lamu, Mombasa, Taita Taveta and Tana River, have cumulatively received close to KSh190 billion from the Kenyan national treasury.",Factual,The supplied auxiliary evidence contains supporting signals and factual details that align with the source claim.,9,0.0001,0.0,AVeriTeC,evidence,True,Factual,Factual,The supplied auxiliary evidence contains supporting signals and factual details that align with the source claim.,9,True,False,0.0001,0.0,mock,mock-fact-audit-heuristic
liar_2635.json,Says the Annies List political group supports third-trimester abortions on demand.,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0,0.0,LIAR,claim,False,Non-Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0,0.0,mock,mock-fact-audit-heuristic
liar_3919.json,The average unemployed American has been out of work for almost 40 weeks.,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0,0.0,LIAR,claim,True,Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0,0.0,mock,mock-fact-audit-heuristic
averitec_train_2217,More than 10.2 million children are out of school in Nigeria.,Factual,The supplied auxiliary evidence contains supporting signals and factual details that align with the source claim.,2,0.0001,0.0,AVeriTeC,evidence,False,Non-Factual,Factual,The supplied auxiliary evidence contains supporting signals and factual details that align with the source claim.,2,False,False,0.0001,0.0,mock,mock-fact-audit-heuristic
averitec_train_1436,Elizabeth Warren proposed tax for the wealthy is two percent for millionaires and billionaires,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0001,0.0,AVeriTeC,evidence,True,Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0001,0.0,mock,mock-fact-audit-heuristic
liar_6282.json,Mitt Romney says the Arizona immigration law should be a model for the nation.,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0,0.0,LIAR,claim,False,Non-Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0,0.0,mock,mock-fact-audit-heuristic
liar_11892.json,"The Seminole gambling compact offers $3 billion in guaranteed revenue, the largest share for any state in history.",Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0,0.0,LIAR,claim,True,Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0,0.0,mock,mock-fact-audit-heuristic
averitec_train_1107,"""Biden was in charge of the H1N1 Swine Flu epidemic which killed thousands of people.""",Non-Factual,"The supplied auxiliary evidence contains refuting signals, credibility warnings, or explicit statements that undermine the source claim.",9,0.0,0.0,AVeriTeC,evidence,False,Non-Factual,Non-Factual,"The supplied auxiliary evidence contains refuting signals, credibility warnings, or explicit statements that undermine the source claim.",9,True,False,0.0,0.0,mock,mock-fact-audit-heuristic
averitec_train_2306,Kenya's broad-based economic growth averaged 5.6% over the last five years,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0001,0.0,AVeriTeC,evidence,True,Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0001,0.0,mock,mock-fact-audit-heuristic
liar_2367.json,Im the only one whos fought against developers draining the Everglades!,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0,0.0,LIAR,claim,False,Non-Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0,0.0,mock,mock-fact-audit-heuristic
liar_5490.json,Fifty percent of the graduating class of the year 2012 will have smoked marijuana or have done illegal drugs.,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0,0.0,LIAR,claim,True,Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0,0.0,mock,mock-fact-audit-heuristic
averitec_train_1074,The United States has had 4700 deaths from Flu between January 22nd 2020 and march 17 2020,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0001,0.0,AVeriTeC,evidence,False,Non-Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0001,0.0,mock,mock-fact-audit-heuristic
averitec_train_337,South Africa has expertise in the development and trial of a range of vaccines.,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0001,0.0,AVeriTeC,evidence,True,Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0001,0.0,mock,mock-fact-audit-heuristic
